formula_pretty,number,band_gap,cbm,source,note
Na2Co2O3,14,0.9716,,auto_ml_correction_v1,auto ekleme; mp=mp-774332; raw_bg=0.0000; pred_bg=0.9716; conf=0.753; gate_relaxed=False
Na2CuO2,36,0.8688,,auto_ml_correction_v1,auto ekleme; mp=mp-754549; raw_bg=0.0000; pred_bg=0.8688; conf=0.853; gate_relaxed=True
NaMnO2,12,1.223,4.0287,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-18957; score=2.680
NaTi4(CuO4)3,204,0.6206,,auto_ml_correction_v1,auto ekleme; mp=mp-1210001; raw_bg=0.0000; pred_bg=0.6206; conf=0.781; gate_relaxed=True
NaV2O4,6,1.0148,,auto_ml_correction_v1,auto ekleme; mp=mp-1303308; raw_bg=0.0000; pred_bg=1.0148; conf=0.796; gate_relaxed=False
NaV2O4,62,1.4853,,auto_ml_correction_v1,auto ekleme; mp=mp-642750; raw_bg=0.0000; pred_bg=1.4853; conf=0.790; gate_relaxed=False
NaV6O11,36,1.5427,,auto_ml_correction_v1,auto ekleme; mp=mp-557578; raw_bg=0.0000; pred_bg=1.5427; conf=0.802; gate_relaxed=False
Nb2CuO6,14,0.642,,auto_ml_correction_v1,auto ekleme; mp=mp-1204490; raw_bg=0.0000; pred_bg=0.6420; conf=0.788; gate_relaxed=True
Nb2CuO6,60,0.8447,,auto_ml_correction_v1,auto ekleme; mp=mp-4643; raw_bg=0.0000; pred_bg=0.8447; conf=0.773; gate_relaxed=True
NiAgO2,12,0.6278,,auto_ml_correction_v1,auto ekleme; mp=mp-1277880; raw_bg=0.0000; pred_bg=0.6278; conf=0.814; gate_relaxed=True
NiAgO2,194,1.2003,,auto_ml_correction_v1,auto ekleme; mp=mp-19284; raw_bg=0.0000; pred_bg=1.2003; conf=0.820; gate_relaxed=True
NiO,225,3.7,,experimental_literature,NiO icin oda sicakliginda tipik optik band araligi (yaklasik 3.6-4.0 eV).
PrFe4(CuO4)3,204,0.9285,,auto_ml_correction_v1,auto ekleme; mp=mp-1105690; raw_bg=0.0000; pred_bg=0.9285; conf=0.872; gate_relaxed=True
RhO2,136,0.7565,,auto_ml_correction_v1,auto ekleme; mp=mp-725; raw_bg=0.0000; pred_bg=0.7565; conf=0.754; gate_relaxed=True
SmFe4(CuO4)3,204,0.9524,,auto_ml_correction_v1,auto ekleme; mp=mp-1106008; raw_bg=0.0000; pred_bg=0.9524; conf=0.864; gate_relaxed=True
SmMnO3,62,0.2744,4.051,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-22203; score=2.680
Sr2FeCuSO3,129,0.6484,,auto_ml_correction_v1,auto ekleme; mp=mp-505312; raw_bg=0.0000; pred_bg=0.6484; conf=0.841; gate_relaxed=True
Sr2Mn2Cu(AsO)2,119,0.6439,,auto_ml_correction_v1,auto ekleme; mp=mp-1218747; raw_bg=0.0000; pred_bg=0.6439; conf=0.836; gate_relaxed=True
Sr2YCu3(PbO4)2,17,0.7348,,auto_ml_correction_v1,auto ekleme; mp=mp-643629; raw_bg=0.0000; pred_bg=0.7348; conf=0.811; gate_relaxed=True
